Full_Town_Name,High_Count,Med_Count,Low_Count,Safe_Count,Total_Count,Dependency_Score,At_Risk_Cap,Safe_Cap,Cap_Gap,Norm_Dependency,Norm_Gap,Total_Risk_Score
臺中市外埔區,1,3,0,0,4,2.249437640589852,900,0,900,0.7498425393651587,0.013046881795250934,0.7628894211604096
臺中市大安區,2,4,1,0,7,2.142551064133695,9524,0,9524,0.7142122553920868,0.138065002464411,0.8522772578564978
臺中市大甲區,5,2,4,0,11,2.0907190255431325,6113,0,6113,0.6969342181013848,0.08861732046040996,0.7855515385617947
臺中市大肚區,0,1,12,0,13,1.0768402430582262,1451,0,1451,0.3589611055559829,0.021034472761010118,0.379995578316993
臺中市大里區,24,14,3,0,41,2.512133850393893,22465,0,22465,0.837411445249303,0.3256646661447914,1.1630761113940944
臺中市大雅區,0,1,7,12,20,0.4499775011249437,8449,5699,2750,0.14999850007499627,0.039865472152155634,0.1898639722271519
臺中市太平區,13,11,0,0,24,2.541560768301321,42964,0,42964,0.8472208102440177,0.6228291438346235,1.4700499540786414
臺中市新社區,4,4,5,0,13,1.9229290054611186,1566,0,1566,0.6410019742071124,0.022701574323736626,0.663703548530849
臺中市東勢區,18,6,0,0,24,2.7498854214407733,51224,0,51224,0.9166651389525438,0.742570525644371,1.6592356645969146
臺中市東區,5,3,0,0,8,2.6246719160104988,5800,0,5800,0.8749256342957131,0.08407990490272825,0.9590055391984413
臺中市梧棲區,1,4,4,6,15,0.9999333377774815,1650,1600,50,0.33332444503699754,0.0007248267664028297,0.3340492718034004
臺中市沙鹿區,2,3,23,8,36,0.9721952167995334,7615,2892,4723,0.3240780348694018,0.06846713635441129,0.39254517122381305
臺中市清水區,3,5,9,1,18,1.5554691406032997,3465,250,3215,0.5185104531229746,0.04660636107970195,0.5651168142026766
臺中市潭子區,1,9,5,0,15,1.733217785480968,4663,0,4663,0.5777623713974624,0.0675973442347279,0.6453597156321903
